Name,City,Latitude,Longitude,Diesel price 
C.P.SHAH AND SONS,DAMAN,20.417565,72.837896,87.96
PATEL PETROLEUM,SILVASSA,20.279106,73.000618,88.05
SHREE GANESH FUELS,LOTE,17.627858,73.471917,92.04
"G B MEHTA & SONS, DAPOLI",DAPOLI,17.758184,73.185976,92.02
"G B MEHTA & SONS, KHED",KHED,17.720903,73.419379,92.15
SANJIVANI SAH.SAKHAR KARKH.LTD,TISKA,15.403062,74.095613,88.57
DASHMESH AUTOMOBILES,NAVI MUMBAI,19.067957,73.012024,90.11
ABDUL RAZAKH & SONS,MULBAGAL,13.176314,78.412502,91.19
A.V. VEERABHADRAPPA & CO.,VIJAYAPURA,13.294661,77.802439,90.83
B BASAVARAJ,CHICKBALLAPUR,13.434528,77.73104,91.08
B G SHIVAPRAKASH MIRJI,BATWADA,13.328391,77.130722,91.48
SAPTHAGIRI SERVICE STATION,CHIKKANAYAKANAHALLI,13.403185,76.625425,91.37
BASAVESWARA HIGHWAY STATION,KUNDAWADA,14.447367,75.886108,92.22
B KURUVATHAPPA & SONS (CHALLAKERE),CHALLAKERE,14.316796,76.649316,92.23
B KURUVATHAPPA & SONS (HIRIYUR),HIRIYUR,13.945396,76.614532,92.25
B V GANGAPPA SETTY & SONS,BHARAMASAGAR,14.37037,76.191394,92.3
CAUVERY AUTO SERVICE,BANGALORE,12.947924,77.579512,91.07
CHANDERS,BANGALORE,12.9765554,77.5799118,91.07
CENTRAL SERVICE STATION,KOLAR,13.137803,78.136184,90.98
DODDA BASAVESWARA OIL CENTER,KURGODU,15.343669,76.841707,92.19
DHANYALAKSHMI SERVICES,GUNDLUPET,11.807416,76.688358,91.05
D.M & SONS,BANGALORE CITY,12.959966,77.649539,91.07
G.B.S. REDDI & CO.,BANGALORE,12.988262,77.577618,91.07
GANGA HANUMAIAH & SONS,MADHUGIRI,13.662464,77.230386,91.74
GURUKRUPA SERVICE STATION,BANGALORE,12.875151,77.648454,91.02
GOKULA SERVICE STATION,BANGALORE,12.99797,77.67066,91.07
GENERAL TRADING ASSOCIATION,KAMPLI,15.403821,76.604866,92.22
H. KESHAVA REDDY,BELLARY,15.144895,76.927666,92.32
INDIA GARAGE SERVICE STATION,BANGALORE,12.975928,77.597894,91.07
JAYANAGAR SERVICE STATION,BANGALORE,12.93656,77.580469,91.07
V.M.S. FUEL STATION,KOLAR GOLD FIELDS,12.956792,78.270881,91.09
K G JAGANATHAN,DODBALLAPUR,13.294042,77.543257,91.09
K N GURUSWAMY,BANGALORE,12.9586433,77.582477,91.07
K.N.K. SERVICE STATION,RAMANAGARAM,12.722502,77.275488,91.33
KRIPANIKETAN,BANGALORE,12.985254,77.543336,91.07
KUMAR SERVICE STATION,"BHARATI NAGAR,K M DODDI",12.490086,77.03574,91.13
KANAKPUR T. AGRI. PRDT CO-OP MKTG.,KANAKAPURA,12.548727,77.424703,91.39
LAKSHMI AGENCIES,"SIRIGERE, HIREBENNUR VILLAGE",14.308658,76.253777,92.3
LAKSHMI NARASIMHA SERVICE STATION,SIDLAGHATTA,13.3846175,77.86037,90.96
LAKSHMANAN SERVICE STATION,K R NAGAR,12.448982,76.385039,90.85
MOOKAMBIKA AGENCIES,TUMKUR,13.343314,77.110096,91.48
M B OIL CENTRE,BELLARY,15.163664,76.914021,92.32
M C CHANAMALLAPPA & SONS,KOLLEGAL,12.158177,77.108071,91.11
MAHAVEERA FILLING STATION,MANDYA,12.962,76.740639,91.26
M M KRISHNA & ASSOCIATES,DAVANAGERE,14.443948,75.92133,92.22
M S NARAYAN SETTY & SONS,CHITRADURGA,14.229889,76.413302,92.25
MAHESWAR SERVICE STATION,CHIKKAGONDANAHALLI,14.369417,76.372261,92.22
M VIVEKANANDAIAH & SONS,CHITRADURGA,14.221079,76.407657,92.25
NARAMADA SERVICE STATION,"KALLAHALLI, MANDYA",12.5223,76.869413,90.87
PETHI`S CORNER,BANGALORE,12.984183,77.560091,91.07
PRIYADARSHINI SERVICE STATION,CHAMARAJANAGAR,11.912348,76.943515,91.11
PETHIS SERVICE STATION,BANGALORE,12.974994,77.548051,91.07
PEARL VALLEY FILLING CENTRE,"YEDUVANAHALLI, ATTIBELE",12.786736,77.745372,91.02
PARK VIEW SERVICE STATION,BANGALORE,12.94335,77.577087,91.07
QUICK SERVICE STATION,BANGALORE,12.962086,77.594222,91.07
RAMACHANDRA BROTHERS,BANGALORE,12.964084,77.570433,91.07
RADHAKRISHNA SERVICE STATION,BELLARY,15.159494,76.878359,92.32
SRINIVASA AGENCIES,HOSPET,15.266564,76.395026,92.21
SRI ANAND AUTOMOBILES,TORNAGALLU,15.19953,76.657977,92.21
S A BADARINARAYANA,SIRA,13.74504,76.898277,91.98
SAPTHAGIRI SERVICE STATION,NANJANGUD,12.137402,76.672772,90.75
SRI JAI MARUTHI SERVICE STATION,TUMKUR,13.312072,76.954479,91.69
SRI KRISHNA SERVICE STATION,CHAMARAJANAGAR,11.932776,76.93069,91.11
SRI LAKSHMI SERVICE STATION,BANGALORE,13.043085,77.556769,91.07
SRI MALAI MAHADESWARA SERVICE STATI,"CHILAPUR VILLAGE, HALAGUR",12.423599,77.217201,91.11
S M PETROLEUM COMPANY,DOBOSPET,13.194722,77.274385,91.29
SRI MARUTHI SERVICE STATION,BANGALORE,12.938212,77.522186,91.02
SRI MAHADESWARAY SWAMY PETROL AGENC,PERIYAPATNA,12.338357,76.097989,91.14
SRI MAHADESWARA SUPER SER. STATION,MANDYA,12.82804,76.75872,91.07
SIDDALINGA PETROL & DIESEL BUNK,KYATHASANDRA,13.313732,77.146637,91.36
